,サンプル 応答文
140,"（自治体の粗大ごみ受付センター等）は、（電話やホームページ等の申し込み方法）から申し込みができます。

▼（自治体の粗大ごみ受付センター等）
電話番号：03-1234-5678
受付日時：平日９時から１７時まで
当該センター等のURL https://aaa.bbb.com"
152,"家庭で不用になった、再使用できる衣類等を拠点回収しています。
回収されたものは、国内や国外で再使用（リユース）されます。

▼詳しくはこちら
（自治体HP内関連ページのURL）
https://aaa.bbb.com"
154,"○○は××ごみです。（必要に応じて、ごみを出すにあたっての留意事項等を追加してください。）

詳しくはこちらをご覧ください。
（自治体HP内関連ページのURL）"
177,"一時多量ごみとは、引越し、大掃除、植木の剪定などにより、家庭から一時的に出た多量のごみ（数量の目安等があれば記載してください） のことです。（有料・無料等の留意事項があれば記載してください。例「一括で処理する場合は有料となりますので、早めに清掃事務所に相談してください。」）

▼詳しくはこちら
（自治体HP内関連ページのURL）"
179,"資源ごみとは、蛍光管類、スプレー缶・カセットボンベ、古紙、びん、缶、ペットボトルなどです。

▼詳しくはこちら
（自治体HP内関連ページのURL）"
247,"（出し方を記載してください）
例「古紙は、新聞・雑誌・段ボールをそれぞれ種類別にひもで縛って出してください。新聞の折り込み広告は、新聞と一緒に出すことができます。窓付き封筒、感熱紙、ノーカーボン紙、写真、紙コップ、ビニールコート紙等は回収できませんので、可燃ごみへ出してください。」"
392,"ごみの収集日は地域によって異なります。詳しくはこちらをご覧ください。
（自治体HP内関連ページのURL）"
399,"（申込方法を記載してください）
例「粗大ごみは、粗大ごみ受付センターへ電話で申し込むか、または粗大ごみ受付センターのホームページから申し込んでください。

▼（自治体の粗大ごみ受付センター等）
（当該センター等のURL）」"
433,"粗大ごみ処理手数料は大きさによって異なります。詳しくは、下記のURLを参照ください。

▼お問い合わせはこちら
電話番号：044-222-7777
受付日時：平日９時から１７時まで
当該センター等のURL https://aaa.53.com"
439,"ごみの出し方についてはこちらをご覧ください。
（自治体HP内関連ページのURL）

粗大ごみについては、（電話やホームページ等の受付方法を記載してください）。
▼（自治体の粗大ごみ受付センター等）
（当該センター等のURL）"
484,"フードドライブとは食品ロスの削減や食品等の有効利用を目的として、家庭で余っている食品等を持ち寄り、それらをまとめて福祉団体や施設、フードバンクなどに寄付する活動のことを言います。

（関連した取り組みを行っている場合は、リンクとしてURLを記載してください）
▼詳しくはこちら
（自治体HP内関連ページのURL）"
527,"ごみの分別について、よく質問される品目の一覧はこちらをご覧ください。
（自治体HP内関連ページのURL）

特定の品目についてお知りになりたい場合は品目名を教えてください。"
